datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A;A1;A2;A3;B;B1;C;D;E;F;D1;F1;D2;F2;D3;F3;D4;F4;D5;F5;D6;F6;D7;F7;D8;F8;D9;F9;D10;F10;D11;F11;D12;F12;D13;F13;D14;F14;D15;F15;D16;F16;D17;F17;D18;F18;D19;F19;D20;F20;D21;F21;D22;F22;D23;F23;D24;F24;D25;F25
08.10.2023;Landtagswahl 2023;06411000;96066;96066;1;1;0;0;0;0;480;480;5;475;2;478;132;134;82;86;127;109;59;61;20;29;16;18;9;9;;5;7;5;3;2;;1;;0;;2;4;4;;1;1;0;;0;;0;;0;14;12;;0;1;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;97070;97070;1;1;0;0;0;0;494;494;7;487;4;490;148;151;117;138;118;66;47;47;28;34;11;14;6;5;;8;;2;;1;;0;;0;;0;;0;;0;;0;;1;0;0;;0;11;23;;0;1;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;97071;97071;1;1;0;0;0;0;465;465;2;463;5;460;184;173;80;100;102;62;38;34;28;48;9;12;14;11;;3;;2;;1;;0;;0;;0;;0;;0;;0;;1;1;0;;0;5;12;;1;2;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;97072;97072;1;1;0;0;0;0;504;504;5;499;2;502;179;181;88;106;117;80;52;58;21;25;12;16;9;6;;9;;2;;1;;1;;0;;0;;1;;1;;0;;1;3;1;;0;17;13;;0;1;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;97073;97073;1;1;0;0;0;0;451;451;2;449;0;451;128;132;98;112;125;84;47;53;18;18;14;12;8;9;;7;;4;;1;;0;;0;;0;;2;;0;;0;;2;1;1;;0;6;11;;3;4;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;97074;97074;1;1;0;0;0;0;510;510;3;507;1;509;154;162;104;128;142;93;33;33;27;35;14;16;12;10;;9;;1;;1;;1;;1;;1;;0;;0;;0;;2;0;0;;0;20;16;;0;1;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;97075;97075;1;1;0;0;0;0;445;445;3;442;0;445;144;142;91;106;107;70;29;32;18;22;18;18;16;12;;12;;1;;1;;2;;1;;0;;0;;0;;1;;3;1;0;;0;17;19;;3;1;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;97076;97076;1;1;0;0;0;0;445;445;5;440;3;442;132;136;101;112;120;85;28;29;13;20;13;13;13;9;;3;;3;;3;;2;;0;;4;;0;;2;;0;;0;2;2;;0;16;18;;1;2;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;97077;97077;1;1;0;0;0;0;467;467;4;463;3;464;167;174;91;99;112;71;43;51;19;24;4;7;11;5;;2;;3;;1;;1;;0;;1;;0;;0;;0;;0;1;1;;0;13;21;;3;2;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;98080;98080;1;1;0;0;0;0;573;573;9;564;7;566;171;175;59;70;152;140;63;66;28;22;21;18;23;17;;5;5;7;7;2;;5;;0;;4;0;1;;2;2;1;;1;;0;;0;29;25;;5;4;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;98081;98081;1;1;0;0;0;0;522;522;12;510;7;515;160;161;90;101;119;108;52;58;25;27;18;16;18;8;;6;6;5;0;0;;0;;0;;1;4;1;;2;0;0;;1;;0;;0;17;18;;2;1;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;99090;99090;1;1;0;0;0;0;450;450;6;444;5;445;102;96;146;152;73;55;36;41;17;17;28;42;7;7;;2;5;3;2;1;;0;;0;;1;2;1;;0;0;0;;3;;2;;0;23;21;;1;3;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;99091;99091;1;1;0;0;0;0;566;566;10;556;8;558;174;176;120;148;108;85;64;67;17;17;19;18;11;10;;1;6;7;3;3;;1;;1;;1;2;1;;0;0;0;;1;;0;;0;31;21;;0;1;;;;;;;
08.10.2023;Landtagswahl 2023;06411000;99092;99092;1;1;0;0;0;0;529;529;4;525;1;528;153;159;125;135;97;83;51;51;25;23;24;20;10;6;;7;3;3;4;5;;0;;1;;0;0;0;;2;0;0;;2;;1;;0;32;30;;0;1;;;;;;;
