Wahl_Abkürzung,gebiet-nr,Stadtteil,Partei,Prozent,Stimmen
EU24,380,DA-Nord,AfD,11.143695014662756,38
EU24,390,DA-Nord,AfD,14.25339366515837,63
EU24,411,Kranichstein,AfD,5.095541401273886,24
EU24,412,Kranichstein,AfD,13.422818791946309,40
EU24,413,Kranichstein,AfD,9.897610921501707,29
EU24,421,Kranichstein,AfD,26.287262872628723,97
EU24,422,Kranichstein,AfD,11.76470588235294,40
EU24,431,Arheilgen,AfD,15.180722891566264,63
EU24,432,Kranichstein,AfD,14.15929203539823,64
EU24,440,Arheilgen,AfD,15.087719298245613,43
EU24,450,Arheilgen,AfD,14.202334630350194,73
EU24,460,Arheilgen,AfD,7.235621521335807,39
EU24,481,Arheilgen,AfD,9.771309771309772,47
EU24,482,Arheilgen,AfD,15.853658536585366,78
EU24,483,Arheilgen,AfD,8.991228070175438,41
EU24,490,Arheilgen,AfD,13.114754098360656,56
EU24,500,Arheilgen,AfD,12.751677852348994,57
EU24,510,Arheilgen,AfD,9.740259740259742,30
EU24,521,Arheilgen,AfD,13.461538461538462,49
EU24,522,Arheilgen,AfD,11.504424778761061,39
EU24,530,Arheilgen,AfD,14.139344262295081,69
EU24,540,DA-Mitte,AfD,7.023411371237458,21
EU24,550,DA-Mitte,AfD,8.764940239043826,44
EU24,560,DA-Mitte,AfD,8.968609865470851,40
EU24,570,DA-Mitte,AfD,8.11965811965812,38
EU24,580,DA-Mitte,AfD,5.720823798627003,25
EU24,600,Bessungen,AfD,5.578800557880056,40
EU24,610,Bessungen,AfD,4.908835904628331,35
EU24,620,Bessungen,AfD,6.420233463035019,33
EU24,630,Bessungen,AfD,3.0991735537190084,15
EU24,640,Bessungen,AfD,5.631067961165048,29
EU24,650,Bessungen,AfD,6.652806652806653,32
EU24,660,Bessungen,AfD,6.189555125725339,32
EU24,680,Bessungen,AfD,5.872756933115824,36
EU24,690,Bessungen,AfD,7.104795737122557,40
EU24,710,DA-Mitte,AfD,9.894736842105264,47
EU24,720,DA-West,AfD,10.48951048951049,45
EU24,730,DA-West,AfD,5.46875,28
EU24,750,DA-West,AfD,13.314447592067987,47
EU24,760,DA-West,AfD,9.001956947162427,46
EU24,780,DA-West,AfD,14.333895446880272,85
EU24,790,DA-West,AfD,8.016032064128256,40
EU24,800,DA-West,AfD,9.832635983263598,47
EU24,810,DA-West,AfD,5.6000000000000005,21
EU24,820,DA-West,AfD,9.812108559498958,47
EU24,831,DA-West,AfD,16.40378548895899,52
EU24,832,DA-West,AfD,14.588859416445624,55
EU24,840,DA-West,AfD,11.855670103092782,69
EU24,850,DA-West,AfD,14.0625,63
EU24,860,Wixhausen,AfD,15.303430079155673,58
EU24,870,Wixhausen,AfD,18.118466898954704,52
EU24,880,Wixhausen,AfD,16.098484848484848,85
EU24,890,Wixhausen,AfD,13.733905579399142,64
EU24,900,Eberstadt,AfD,5.680119581464873,38
EU24,910,Eberstadt,AfD,13.418530351437699,42
EU24,920,Eberstadt,AfD,18.571428571428573,78
EU24,930,Eberstadt,AfD,14.164305949008499,50
EU24,940,Eberstadt,AfD,12.128146453089245,53
EU24,950,Eberstadt,AfD,8.431372549019608,43
EU24,960,Eberstadt,AfD,7.009345794392523,45
EU24,970,Eberstadt,AfD,10.66350710900474,45
EU24,980,Eberstadt,AfD,6.982543640897755,28
EU24,990,Eberstadt,AfD,18.947368421052634,54
EU24,1000,Eberstadt,AfD,16.467780429594274,69
EU24,1010,Eberstadt,AfD,6.2,31
EU24,1020,Eberstadt,AfD,30.434782608695656,91
EU24,1030,Eberstadt,AfD,27.536231884057973,95
EU24,1040,Eberstadt,AfD,6.378600823045268,31
EU24,1050,Eberstadt,AfD,7.629427792915531,28
EU24,91010,,AfD,3.3123028391167195,21
EU24,91011,,AfD,5.415860735009671,28
EU24,91012,,AfD,4.593639575971731,26
EU24,91013,,AfD,3.1413612565445024,18
EU24,91014,,AfD,3.423423423423423,19
EU24,91015,,AfD,5.414551607445008,32
EU24,91016,,AfD,2.0895522388059704,7
EU24,92020,,AfD,3.614457831325301,24
EU24,92021,,AfD,3.898305084745763,23
EU24,92022,,AfD,5.082212257100149,34
EU24,92023,,AfD,6.181818181818182,34
EU24,92024,,AfD,3.0844155844155843,19
EU24,92025,,AfD,2.763385146804836,16
EU24,92026,,AfD,6.677265500794912,42
EU24,92027,,AfD,4.774897680763983,35
EU24,92028,,AfD,5.197132616487455,29
EU24,93030,,AfD,3.481012658227848,22
EU24,93031,,AfD,5.213270142180095,22
EU24,93032,,AfD,2.3961661341853033,15
EU24,93033,,AfD,5.367231638418079,19
EU24,93034,,AfD,4.25531914893617,28
EU24,93035,,AfD,3.4229828850855744,14
EU24,93036,,AfD,5.025125628140704,20
EU24,94040,,AfD,1.9784172661870503,11
EU24,94041,,AfD,1.3392857142857142,6
EU24,94042,,AfD,3.3282904689863844,22
EU24,94043,,AfD,2.9641185647425896,19
EU24,94044,,AfD,3.818953323903819,27
EU24,94045,,AfD,1.674641148325359,7
EU24,95050,,AfD,3.8461538461538463,22
EU24,95051,,AfD,2.674897119341564,13
EU24,95052,,AfD,5.071315372424722,32
EU24,95053,,AfD,5.49777117384844,37
EU24,95054,,AfD,6.4128256513026045,32
EU24,95055,,AfD,7.729468599033816,32
EU24,96060,,AfD,7.547169811320755,36
EU24,96061,,AfD,8.02675585284281,24
EU24,96062,,AfD,5.341246290801187,18
EU24,96063,,AfD,5.825242718446602,30
EU24,96064,,AfD,5.905511811023622,30
EU24,96065,,AfD,5.161290322580645,24
EU24,96066,,AfD,8.438818565400844,40
EU24,97070,,AfD,8.032128514056225,40
EU24,97071,,AfD,7.254901960784315,37
