wahl,gebiet-nr,gebiet-name,Insgesamt,CDU,Grüne,SPD,AfD,FDP,Linke,Anteil_SPD,Anteil_CDU,Anteil_Grüne,Anteil_FDP,Anteil_AfD,Anteil_Linke,CDU_Anteil,CDU_Prozent,Grüne_Anteil,Grüne_Prozent,SPD_Anteil,SPD_Prozent,AfD_Anteil,AfD_Prozent,FDP_Anteil,FDP_Prozent,Linke_Anteil,Linke_Prozent,Wahl_Abkürzung,Stadtteil
Wahl zum Deutschen Bundestag,440,"00440 - Kinderhort, Jägertorstr.",264,46,58,55,34,28,14,,,,,,,0.17424242424242425,17.424242424242426,0.2196969696969697,21.96969696969697,0.20833333333333334,20.833333333333336,0.12878787878787878,12.878787878787879,0.10606060606060606,10.606060606060606,0.05303030303030303,5.303030303030303,BTW21,Arheilgen
Wahl zum Deutschen Bundestag,450,00450 - Stadtteilschule Arheilg.,470,72,84,130,41,48,37,,,,,,,0.15319148936170213,15.319148936170212,0.17872340425531916,17.872340425531917,0.2765957446808511,27.659574468085108,0.08723404255319149,8.72340425531915,0.10212765957446808,10.212765957446807,0.07872340425531915,7.872340425531915,BTW21,Arheilgen
Wahl zum Deutschen Bundestag,460,00460 - Stadtteilschule Arheilg.,481,92,81,128,32,66,31,,,,,,,0.19126819126819128,19.12681912681913,0.1683991683991684,16.839916839916842,0.2661122661122661,26.611226611226613,0.06652806652806653,6.652806652806653,0.13721413721413722,13.721413721413722,0.06444906444906445,6.4449064449064455,BTW21,Arheilgen
Wahl zum Deutschen Bundestag,481,00481 - Astrid-Lindgren-Schule,428,79,99,103,41,43,23,,,,,,,0.18457943925233644,18.457943925233643,0.23130841121495327,23.130841121495326,0.24065420560747663,24.065420560747665,0.09579439252336448,9.579439252336448,0.10046728971962617,10.046728971962617,0.053738317757009345,5.373831775700935,BTW21,Arheilgen
Wahl zum Deutschen Bundestag,482,00482 - Wilhelm-Busch-Schule,466,74,72,119,49,62,28,,,,,,,0.15879828326180256,15.879828326180256,0.15450643776824036,15.450643776824036,0.2553648068669528,25.536480686695278,0.10515021459227468,10.515021459227468,0.13304721030042918,13.304721030042918,0.060085836909871244,6.008583690987124,BTW21,Arheilgen
Wahl zum Deutschen Bundestag,483,00483 - Wilhelm-Busch-Schule,382,71,74,103,23,39,20,,,,,,,0.18586387434554974,18.586387434554975,0.193717277486911,19.3717277486911,0.2696335078534031,26.96335078534031,0.060209424083769635,6.020942408376963,0.10209424083769633,10.209424083769633,0.05235602094240838,5.2356020942408374,BTW21,Arheilgen
Wahl zum Deutschen Bundestag,490,00490 - Astrid-Lindgren-Schule,343,55,93,91,25,31,20,,,,,,,0.16034985422740525,16.034985422740526,0.27113702623906705,27.113702623906704,0.2653061224489796,26.53061224489796,0.0728862973760933,7.288629737609329,0.09037900874635568,9.037900874635568,0.05830903790087463,5.830903790087463,BTW21,Arheilgen
Wahl zum Deutschen Bundestag,500,00500 - Astrid-Lindgren-Schule,356,47,93,111,24,32,18,,,,,,,0.13202247191011235,13.202247191011235,0.2612359550561798,26.12359550561798,0.31179775280898875,31.179775280898873,0.06741573033707865,6.741573033707865,0.0898876404494382,8.98876404494382,0.05056179775280899,5.056179775280898,BTW21,Arheilgen
Wahl zum Deutschen Bundestag,510,00510 - Astrid-Lindgren-Schule,317,38,76,84,26,33,29,,,,,,,0.11987381703470032,11.987381703470032,0.23974763406940064,23.974763406940063,0.26498422712933756,26.498422712933756,0.08201892744479496,8.201892744479496,0.10410094637223975,10.410094637223976,0.0914826498422713,9.14826498422713,BTW21,Arheilgen
Wahl zum Deutschen Bundestag,521,00521 - Wilhelm-Busch-Schule,325,56,57,80,34,44,26,,,,,,,0.1723076923076923,17.23076923076923,0.1753846153846154,17.53846153846154,0.24615384615384617,24.615384615384617,0.10461538461538461,10.461538461538462,0.13538461538461538,13.538461538461538,0.08,8.0,BTW21,Arheilgen
Wahl zum Deutschen Bundestag,522,00522 - Wilhelm-Busch-Schule,351,52,72,114,33,35,14,,,,,,,0.14814814814814814,14.814814814814813,0.20512820512820512,20.51282051282051,0.3247863247863248,32.47863247863248,0.09401709401709402,9.401709401709402,0.09971509971509972,9.971509971509972,0.039886039886039885,3.9886039886039883,BTW21,Arheilgen
Wahl zum Deutschen Bundestag,530,00530 - Freiwillige Feuerwehr DA-Arheilgen,415,69,67,126,39,60,22,,,,,,,0.16626506024096385,16.626506024096386,0.1614457831325301,16.14457831325301,0.3036144578313253,30.361445783132528,0.09397590361445783,9.397590361445783,0.14457831325301204,14.457831325301203,0.05301204819277108,5.301204819277109,BTW21,Arheilgen
